module,camera_id,timestamp,event_type,confidence,bbox,severity,frame_idx,person_id,snapshot_path,clip_path,iso_timestamp
crowd_detection,CAM-01,0.0,density_change,1.0,"460,180,820,540",low,0,,,,2026-04-19T09:55:08.875361
crowd_detection,CAM-01,0.0,person_entry,1.0,"324,31,364,71",low,0,4,,,2026-04-19T09:55:08.875361
crowd_detection,CAM-01,0.767,person_entry,1.0,"10,461,50,501",low,23,5,,,2026-04-19T09:56:48.184435
crowd_detection,CAM-01,1.867,person_exit,1.0,"15,455,55,495",low,56,5,,,2026-04-19T09:59:18.904459
crowd_detection,CAM-01,3.6,person_exit,1.0,"14,456,54,496",low,108,5,,,2026-04-19T10:03:36.926427
crowd_detection,CAM-01,5.033,person_entry,1.0,"10,458,50,498",low,151,26,,,2026-04-19T10:07:26.082807
crowd_detection,CAM-01,6.7,person_entry,1.0,"14,537,54,577",low,201,28,,,2026-04-19T10:11:20.390619
crowd_detection,CAM-01,9.433,person_entry,1.0,"1,465,41,505",low,283,30,,,2026-04-19T10:17:33.342706
crowd_detection,CAM-01,9.533,person_exit,1.0,"325,31,365,71",low,286,4,,,2026-04-19T10:17:45.868880
crowd_detection,CAM-01,11.0,person_entry,1.0,"8,455,48,495",low,330,30,,,2026-04-19T10:21:18.174445
crowd_detection,CAM-01,12.333,person_entry,1.0,"366,12,406,52",low,370,33,,,2026-04-19T10:24:26.032681
crowd_detection,CAM-01,15.333,person_entry,1.0,"13,456,53,496",low,460,39,,,2026-04-19T10:31:20.818028
