module,camera_id,timestamp,event_type,confidence,bbox,severity,frame_idx,person_id,snapshot_path,clip_path,iso_timestamp
crowd_detection,CAM-01,0.0,density_change,1.0,"460,180,820,540",low,0,,,,2026-04-20T06:18:42.911039
parking,CAM-01,0.483,parking_status_update,1.0,"0,0,1280,720",low,29,,,,2026-04-20T06:21:32.116204
parking,CAM-01,0.983,parking_status_update,1.0,"0,0,1280,720",low,59,,,,2026-04-20T06:24:21.387317
parking,CAM-01,1.483,parking_status_update,1.0,"0,0,1280,720",low,89,,,,2026-04-20T06:26:45.014303
parking,CAM-01,1.983,parking_status_update,1.0,"0,0,1280,720",low,119,,,,2026-04-20T06:29:21.236028
parking,CAM-01,2.483,parking_status_update,1.0,"0,0,1280,720",low,149,,,,2026-04-20T06:31:49.507891
parking,CAM-01,2.983,parking_status_update,1.0,"0,0,1280,720",low,179,,,,2026-04-20T06:34:18.898060
parking,CAM-01,3.483,parking_status_update,1.0,"0,0,1280,720",low,209,,,,2026-04-20T06:36:32.577021
parking,CAM-01,3.983,parking_status_update,1.0,"0,0,1280,720",low,239,,,,2026-04-20T06:38:47.707334
parking,CAM-01,4.483,parking_status_update,1.0,"0,0,1280,720",low,269,,,,2026-04-20T06:40:34.273816
parking,CAM-01,4.983,parking_status_update,1.0,"0,0,1280,720",low,299,,,,2026-04-20T06:42:32.486005
parking,CAM-01,5.483,parking_status_update,1.0,"0,0,1280,720",low,329,,,,2026-04-20T06:44:22.074763
parking,CAM-01,5.983,parking_status_update,1.0,"0,0,1280,720",low,359,,,,2026-04-20T06:46:02.468647
parking,CAM-01,6.483,parking_status_update,1.0,"0,0,1280,720",low,389,,,,2026-04-20T06:47:40.141711
parking,CAM-01,6.983,parking_status_update,1.0,"0,0,1280,720",low,419,,,,2026-04-20T06:49:20.849494
parking,CAM-01,7.483,parking_status_update,1.0,"0,0,1280,720",low,449,,,,2026-04-20T06:51:00.486976
parking,CAM-01,7.983,parking_status_update,1.0,"0,0,1280,720",low,479,,,,2026-04-20T06:52:25.615183
parking,CAM-01,8.483,parking_status_update,1.0,"0,0,1280,720",low,509,,,,2026-04-20T06:53:56.316114
parking,CAM-01,8.983,parking_status_update,1.0,"0,0,1280,720",low,539,,,,2026-04-20T06:55:34.023733
parking,CAM-01,9.483,parking_status_update,1.0,"0,0,1280,720",low,569,,,,2026-04-20T06:57:14.151920
parking,CAM-01,9.983,parking_status_update,1.0,"0,0,1280,720",low,599,,,,2026-04-20T06:58:51.100833
parking,CAM-01,10.483,parking_status_update,1.0,"0,0,1280,720",low,629,,,,2026-04-20T07:00:25.488920
parking,CAM-01,10.983,parking_status_update,1.0,"0,0,1280,720",low,659,,,,2026-04-20T07:02:02.790943
crowd_detection,CAM-01,11.417,person_entry,1.0,"-11,266,29,306",low,685,126,,,2026-04-20T07:03:26.535984
parking,CAM-01,11.483,parking_status_update,1.0,"0,0,1280,720",low,689,,,,2026-04-20T07:03:40.282779
parking,CAM-01,11.983,parking_status_update,1.0,"0,0,1280,720",low,719,,,,2026-04-20T07:05:11.576802
parking,CAM-01,12.483,parking_status_update,1.0,"0,0,1280,720",low,749,,,,2026-04-20T07:06:42.132134
parking,CAM-01,12.983,parking_status_update,1.0,"0,0,1280,720",low,779,,,,2026-04-20T07:08:25.531146
parking,CAM-01,13.483,parking_status_update,1.0,"0,0,1280,720",low,809,,,,2026-04-20T07:10:16.061721
parking,CAM-01,13.983,parking_status_update,1.0,"0,0,1280,720",low,839,,,,2026-04-20T07:11:57.534579
